NASSValue,CropName,Group,APEXMGT,APEXMGTNO,LUNOCV_Straight_Poor,LUNOCV_Straight_Good,LUNOCV_Contoured_Poor,LUNOCV_Contoured_Good,LUNOCV_ContouredTerraced_Poor,LUNOCV_ContouredTerrace_Good,UPN_Conventional_Tillage_No_ Residue,UPN_Conventional_Tillage_ Residue,UPN_Chisel_Plow_No_Residue,UPN_Chisel_Plow_Residue,UPN_Fall_Disking_Residue,UPN_No_Till_No_Residue,UPN_No_Till_With_Residue_0to1ton,UPN_No_Till_With_Residue_2to9ton
0,CULTIVATED,"Small grains, vegetables",CULTIVATED,0,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
10,CULTIVATED,"Small grains, vegetables",CULTIVATED,10,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
20,FOREST,"Trees, Forest",FOREST,20,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
30,GRASS,Grassland,GRASS,30,20,21,22,23,24,25,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
40,SHRUB,Shrub,SHRUB,40,20,21,22,23,24,25,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
50,WATER,Water surface,WATER,50,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
60,WATER,Water surface,WATER,60,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
70,BARELAND,Fallow,BARELAND,70,1,1,1,1,1,1,0.01,0.01,0.01,0.15,0.15,0.15,0.15,0.15
80,ARTIFICIAL,Urban,ARTIFICIAL,80,35,35,35,35,35,35,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
90,BARELAND,Fallow,BARELAND,90,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0
100,BARELAND,Fallow,BARELAND,100,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
